tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: tcpdump.bc: reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type PPP (PPP)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PFSYNC (Packet filter state syncing)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type PPP (PPP)
reading from file A, link-type PPP (PPP)
reading from file A, link-type FDDI (FDDI)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type LOOP (OpenBSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP (PPP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type LOOP (OpenBSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ENC (OpenBSD encapsulated IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ATM_RFC1483 (RFC 1483 LLC-encapsulated ATM)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type NULL (BSD loopback)
tcpdump.bc: reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ENC (OpenBSD encapsulated IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type IEEE802_11 (802.11)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type LINUX_SLL (Linux cooked)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type C_HDLC (Cisco HDLC)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type LOOP (OpenBSD loopback)
reading from file A, link-type EN10MB (Ethernet)
tcpdump.bc: reading from file A, link-type EN10MB (Ethernet)
tcpdump.bc: reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type RAW (Raw IP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
tcpdump.bc: reading from file A, link-type FRELAY (Frame Relay)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type LOOP (OpenBSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_CLIP (Linux Classical IP-over-ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type SLIP_BSDOS (BSD/OS SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type LTALK (Localtalk)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type IEEE802 (Token ring)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ARCNET (BSD ARCNET)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type ATM_CLIP (Linux Classical IP-over-ATM)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type SLIP (SLIP)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type NULL (BSD loopback)
reading from file A, link-type EN10MB (Ethernet)
reading from file A, link-type PPP_BSDOS (BSD/OS PPP)
